topic, posthw1,"Question: Hi all,
We have made a minor correction to the grades from HW1. This correction could only potentially improve student grades by a few points. No one's grade went down.
hw1,"Question: Hello,
Section (F) of the README requirements in the homework spec, which asks for an outline of the data structures and algorithms you used, says to ""Please pick a couple interesting/complex algorithms to discuss in the README"".
What is this question looking for? In the context of CharArrayList, what would be interesting/complex algorithms? What should this discussion entail?
Answer: An algorithm is a set of steps to accomplish a task or solve a problem. For example, in lecture you all saw the steps or algorithm for expanding an array: Allocate a new, larger array, copy the elements over, and recycle the old array. It's high-level (minimal implementation details), but it describes how you solved a problem. 
You can describe a few algorithms that you implemented for this homework. Most of them are straightforward, but they will get more involved in later assignments."
hw1,"Question: Are we just copying the ReadMe from Lab01, making a new ReadMe in the HW1 folder, and filling it out for HW1?
Answer: You can definitely use the README from lab01 as a starting off point, just make sure that you answer and fill out all of the sections that the hw01 spec asks you to!"
hw1,"Question: Hello. I'm wondering if I can get more clarification on insertInOrder method.
The spec says we should insert the char in ASCII order. But I'm not sure what suffices this order. In the example given, 'C' - 'B' is 1. Should we only consider insertion when the character to be inserted is precisely 1 more than the previous element, or should we insert the character as long as it's numerically greater than the character before it, and smaller than the character after? 
Thank you."
hw1,"Question: Hi, for each function implementation in the cpp file, do we need to consider the condition if the list is empty? For instance, in first(), we can't return any value if the list is empty."
hw1,"Question: Hello!

In cs11, we had to enter ""use comp11"" every time we restarted terminal. 

In cs15, we entered ""echo ""use -q comp15\n"" >> ∼/.cshrc"" during Lab 1. Will this automatically enter ""use -q comp15"" for every assigment, not just Lab 1?

Thanks!"
hw1,"Question: Hello!
  Could you please help me understand how the what() function knows what message to print?
  In third_attempt_access, we are calling catch() from &e, but it looks like we never created the e object. I read a geeksforgeeks article about exceptions, and they created a special struct for their exception. I am guessing that our exception is created when we use throw(), but would appreciate confirmation/disproval.
  Thank you!
Answer: In the following code:
try {
   int result = attempt_access(arr, size, index);
   cout << ""Successfully accessed element!"" << endl;
   return result;
}
catch (const range_error &e) {
   cout << ""We just got the following error message:\n"";
   cout << e.what();
   return 0;
}
The line ""catch (const range_error &e)"" is what actually initializes and binds the variable e. Exceptions are actually just objects in C++, and as a result of that line, e is bound to the range_error object that is thrown as a result of the faulty access. We can then call the ""what()"" method on e, which returns the error message that is associated with that exception.
Hopefully that makes sense, but please let us know if you still have questions!"
hw1,"Question: I'm trying to test my first() function, and want to check that the runtime_error is thrown with an empty array list. how can i do this?"
hw1,"Question: For methods such as elementAt or removeAt (that require the dynamic error message), should they still have the bracket and parentheses combination for the interval [0, 0)? Or should this case be handled [0, 0]? Thanks
Answer: When in doubt, follow the spec. For an ArrayList of size zero, [0,0) would be correct because we can't remove from or index an empty list, so the empty range [0,0) is accurate."
hw1,"Question: In the hw1 spec, can i use the std::stringstream to implement to string? The same way that was done in the lab1.
Answer: Yep! Making this public for others."
hw1,"Question: The style guide specifies that they want us to use the keywords not/and/or instead of their special characters, however whenever I try to use these keywords VScode has an error saying that ""and is unidentified"" and sometimes that the program was expecting a ), however adding parenthesis' does not fix the error. The code does work if I use the && or || and ! symbols, it only has an error when I try to use the keywords, so I was wondering if I have to include a specific library to be able to use these keywords?
Answer: Nope, there aren't any libraries you need to include. As long as your code compiles on Halligan, you can ignore any ""errors"" VSCode gives (I ignore the subjective ones all the time). If you want, you can also turn them off in settings, or there might be something online about how to make it recognize not/and/or. Either way, you should still use not/and/or to comply with our style guide.
Edit: in general, VSCode will often yell at you and red-underline things that will compile just fine. My approach is to take VSCode’s error detection as a sign that something might be wrong, but I would always recommend trying to compile to find out definitively."
hw1,"Question: I fail Valgrind when I try to create a CharArrayList using that constructor but with an array of a size smaller than the int size I provided. Should we throw an error for this, or ensure that the size provided and the array size are the same?
Thanks!
Answer: The spec doesn't say what to do in that case, so your program can handle it however you like. For the array constructor, we won't test you on invalid inputs for the array (e.g., its size does not equal the size passed in, etc.) or the size (e.g., negative values, etc.)."
hw1,"Question: For this assignment, are characters always Aa-Zz or should we account for the possibility of a character being a number?
Answer: Numbers, e.g. '1', are valid characters as well!"
hw1,"Question: Given expand() is a private function in our .h file, how should we test its functionality? I am going to use expand in other functions, so should I test it within those, and assume that if those functions work, expand() must work?
Answer: You are allowed to make functions temporarily public in order to test them. Just remember to make it private again before submitting, and document that this is the approach you took. Also remember to comment out the unit test, as any failing tests should be commented out before submitting and it wouldn’t work with the function private."
hw1,"Question: Hello,
The interface functions in the homework spec with a string return type use std::string, like this:
std::string toString() const
Does this imply that we should not write using namespace std; in our header files (like I did in CS 11?)
Answer: It's generally good practice to avoid using a namespace in a header file. That's because a header file is intended to be ""include""-d in other client code files, and those clients shouldn't be forced to use a namespace, as this could cause things like name clashes. For a silly example, if a client has a variable named ""cout"", this would clash with std's cout. So generally, we leave namespaces out of headers, so that clients aren't forced to use them.
That said, it's fine to use namespaces in implementation files (i.e., .cpp files), as these are not typically included elsewhere."
hw1,"Question: Do we need to include function contracts in unit_test.h as well, or should they only be written in CharArrayList.cpp?
Answer: We do not require formal function contracts (name, purpose, arguments, etc.) in your unit testing file, but each test should have its own description of what it is testing."
hw1,"Question: The spec notes that we are allowed to use C++ strings when throwing exceptions, but does that mean we can use external methods such as std::to_string to concatenate a string made up of words and dynamic values, such as the message needed for the range error exception? Is there a simpler way to do this?
Answer: Yes, you can use to_string(). Making this public for others to see too."
hw1,"Question: Hi,
I entered /comp/15/files/hw_arraylists into my terminal to copy the starter files and got a message saying 'Permission denied'. Am I doing something wrong?
Thank you!
Answer: The file permissions issues have been resolved. When you type the command /comp/15/files/hw_arraylists, your session interprets the hw_arraylists directory as a command, and tries to execute it. When it realizes it’s a directory, it gets mad at you.
The correct command is cp /comp/15/files/hw_arraylists/* .
There are a couple things to note here. First, the cp command takes the following form: cp [source] [destination], where source is a file and destination is a directory. The period at the end is very important, as it is the destination for the file. The period is short hand for “this directory”. The asterisk in cp /comp/15/files/hw_arraylists/* . refers to every file in the hw_arraylists directory. So, in total, /comp/15/files/hw_arraylists/* . tells your terminal to copy every file from /comp/15/files/hw_arraylists/ and move it into the current directory.
If you try all of this and still have issues, reply to this post and we can go from there."
hw2,"Question: Hi all,
HW1 has been released! You can find it on the course schedule. It’s due one week from today, Tuesday Jan. 28th 11:59pm. Some tips that will be useful for this and every HW:
Start early. These assignments are far easier if you do a little bit every day. 
Plan before you code. Before you write the code for an array list function, you should have a thorough understanding of exactly how that function will work. Drawing diagrams always helps! You should also make sure to consider edge cases: inserting into or removing from an empty list, inserting at the first or last position of a list, etc.
Test, test, and test some more. As soon as you write a new function, it’s a good idea to write at least one test for that function. Try to test every possible path through a function, e.g., if a function uses an `if` statement, you want to write tests that hit every possible branch of that statement. Finally, make sure to test edge cases as well. We will look at your tests! Part of your grade is based on how thoroughly you tested your program. We've given you some (initially commented out) tests in your starter code to provide an example of what a good test set looks like.
Additionally, if you haven't already, you need to familiarize yourself with our grading procedures as outlined on the course policy page. A few minutes after you submit, you will be able to view your autograder score on Gradescope, as well as a description of a subset of our autograder tests. This can help you catch latent errors in your program. Remember: You are only allowed 5 submissions. So, use those submissions wisely. This means you need to thoroughly test your own code—you can't rely on the autograder for debugging. 
Finally, keep in mind that your autograder score is just one portion of your total assignment grade. We will also grade you based on:
Functionality and design
Testing (remember to submit your tests!!)
Structure, Organization, and Documentation (read our course style guide)
Best of luck! The TAs and I will be here to help you.
Cheers,
Milod"
hw2,"Question: Are we allowed to use the sstream library for hw2?
Answer: Yes"
hw2,"Question: Hi,
I'm a little confused on what Q3 of the README is asking. Are we assuming the client knows what goes under the hood behind all the functions? 
Answer: A client will never know what goes on under the hood, that's the purpose of abstraction. Q3 is saying to suppose a client is using CharArrayList, what changes would they need to make to instead use CharLinkedList? For example, unit_test was a client of CharArrayList in HW1. Think about the changes you had to make to your HW1 tests to transform them into a client of CharLinkedList for HW2.
I hope that example puts the question into more concrete terms, but follow up if you'd like more clarification!"
hw2,"Question: I have a function that is at 30 lines and I don't want to go over 30 lines since that is the limit in the style guide. I want to add comments to make the code easier to understand. Would these comments count towards the amount of lines my function has, making my function not valid with the style guide?
Answer: Your functions should not go over 30 lines, except for special cases of a command loop, which won’t be applicable until the 2nd project. If your function is nearing 30 lines, there should be sirens going off that you can make it more modular. If you would be way under without any comments, then that likely means you are commenting way too much. Remember, we want inline comments for special cases, bugs, and hard to read parts. Strive to make the code as readable as possible by reducing nesting, using modular functions, and naming descriptively.
If you want, you can post your specific code and we can see what advice we can give you."
hw2,"Question: If I submit 2 submissions into gradescope, the autograder runs, and I don't like the results, but I will need more time to find out what went wrong, would I still be able to submit the next day with a late token, use another one of my 3 autograder tests? Or would the submission be locked after my first submission?

Thank you!
Answer: Yes, you can submit again using a token, even if you have already submitted before the deadline. Just be aware that you have 5 submissions total, no matter what—using tokens does not buy you extra submissions."
hw2,"Question: Hello! I am passing all of my unit tests. However, I got 15 points off on the autograder. I was wondering if you could give me any tips on where to start looking. Thank you!
Answer: Hi - there could be many places where points are being lost. First take a look at the autograder score - are you passing all the available tests, and the style check? If you are passing all, then you are likely failing some hidden tests. I would then check the spec. We are highly specific with things like our error messages, so double check not only that you are throwing the right messages and constructing the right strings, but also that you are asserting them correctly. The spec will also mention specific cases that we will test, like self-concatenation.
If all that fails, you likely need more unit tests. Make sure you are testing all functions for all cases (including throwing errors). We highly recommend you follow the form for the insertAt tests provided for you.
I am making this public in case other students have similar questions/issues. If you have particular questions about code, please make a private post."
hw2,"Question: Do our functions have to abide by the interface given in the specs verbatim? For example, can we change

void concatenate(CharLinkedList *other);

to 

void concatenate(const CharLinkedList *other); ?
This might help when I wish to call concatenate(other) in certain cases where the ""other"" CLL is const at the instance.
Answer: No, you may not change the interface. The above declarations create two different functions. So, the autograder tests won't compile with your code if it makes a call to concatenate(CharLinkedList *other), passing in a non-const CharLinkedList because your CharLinkedList interface won't have a concatenate function that takes in this type."
hw2,"Question: Should the last element point back to the first element as the ""next"" node in a circular fashion, or is that up to us?
Answer: Up to you, I suppose. As long as you have a doubly linked list that subscribes to the specifications in the spec, then you should be good. It might be harder to implement CharLinkedList as circular, but feel free to go for it if you feel comfortable doing so."
hw2,"Question: When I run the destructor on my list of 
1000000 elements then I get a stack overflow. Is this something to be expected or is there something I need to fix?
Answer: If this is only happening for larger lists, it is quite likely that your program is just running out of memory. Assuming you implemented your destructor using a recursive helper function, keep in mind that for each call to the helper function, some new stack space is allocated. A very large number of calls could mean you use up all of the space that is available to your program.
Make sure to thoroughly test your destructor on smaller lists, keeping an eye out for memory issues via valgrind (which is run automatically by unit_test). If everything works fine for smaller list sizes, then you are probably good to go."
hw2,"Question: Hello! 
I was running my unit tests and somewhere in between, I got this error about disk quota being exceeded. I know this happened to some people in CS11 and they solved it by deleting big output files, but we don't have output files in CS15, only header and cpp so far.  Please how do I handle it? 
Thank you! 
Answer: The student answer is good advice; start there. If that doesn’t work, I’d recommend going through your other files (like those in your cs11 folder, if it exists), and delete all the testing files/.o files."
hw2,"Question: Do we only need to implement the errors provided in the function description? Take this function for example:
  Can I throw an error of ""remove from empty LinkedList"" or can my program ONLY error with ""index (IDX) not in range [0..SIZE)""? Would there be some edge cases testing removeAt(0) etc...
I would assume that I should only throw the error provided and no other ""edge cases""? Otherwise in what order would I throw my errors (like would it first check if the list is empty or first check the index out of range)?
Answer: The student's answer is correct. Also, throwing errors not specified in the spec would cause your program to end early or print a different error message, and the autograder would fail that test. Please only throw errors mentioned in the spec"
hw2,"Question: I have a few methods that go over 30 lines, mostly due to many Node element reassignments, ex: 
Struct *ptr1 = new Struct();
Struct *ptr2 = new Struct();
ptr1->elem1 = data;  
ptr1->elem2 = ptr2->elem2;  
ptr1->elem3 = ptr2;
run code snippetVisit Manage Class to disable runnable code snippets×
Would it be stylistically appropriate to put similar assignments on the same line separated by commas, ex:
Struct *ptr1 = new Struct(), Struct *ptr2 = new Struct();
ptr1->elem1 = data, ptr1->elem2 = ptr2->elem2, ptr1->elem3 = ptr2;
run code snippetVisit Manage Class to disable runnable code snippets×
to decrease the number of lines in a method?

Thanks!
Answer: Although the style guide doesn't mention anything about this, I would recommend not using multiple variable declarations in the same statement because it isn't as readable as declaring variables across multiple lines. But, with your example above, you could probably make a helper function that would condense all five lines into only one or two."
hw2,"Question: Do we need to organize our unit_test header file in terms of readability (i.e. grouped by method)? On the previous homework, I grouped all of my tests based on the method they corresponded to, which matched the order in the class header file. However, it feels a lot more intuitive to have the tests in the order that I wrote them because they build upon each other. Does this matter? (Given that the necessary commenting is included and the test names are descriptive.)
Thank you!
Answer: The style guide doesn't mention anything about this, so how you organize unit_test.h is up to you. As you said, as long as each test has a descriptive name and brief description, you're all set."
hw2,"Question: For the elementAt and replaceAt function, the hw specs say that they ""must be use a private recursive helper function"". Does that mean that the only thing that can go inside the brackets of elementAt function (for example) is the recursive function? Or are we allowed to add more lines/functions beside the recursive function?"
hw2,"Question: Hello!

Because toString is const, compiler indicates an error when I am using a helper function that wasn’t declared as const. When I declare the helper function as const, compiler throws another error, because I am using this->size inside the helper function (and size() is not const).
  Could you please recommend a way to circumvent this? Would it be ok if I re-implement size() inside toStringHelper?

Thank you!

P.S.
The error message I mentioned:

CharLinkedList.cpp:233:40: error: 'this' argument to member function 'size' has type 'const CharLinkedList', but function is not marked const
  233 |     ss << ""[CharArrayList of size "" << this->size() << "" <<"";"
hw2,"Question: I have a feeling that the hidden tests that failed both on my hw1 final and hw2 current submission are the same. Will we get our hw1 grades before hw2 is due to see what mistakes we might have made in both programs?
Thanks!
Answer: Yes, you’ll get HW1 grades back before HW2 is due."
hw2,"Question: Hello!

Could you please let me know if we are allowed to use tests we wrote in HW1, for HW2?

Thank you!
Answer: You are allowed to reuse the tests you wrote for HW1!
[making public so the rest of the class knows as well!]"
hw2,"Question: Hello! 
When we get an empty list as an argument for our clear function, should we just leave the list untouched? Or is there an exception we should throw? I am asking because the spec does not specify. 
Thank you! "
hw2,"Question: Regarding using strings in implementation, the spec states this:
""You may not use any C++ strings in your CharLinkedList implementation, except for:
◦ In the toString() and toReverseString() functions.
◦ When throwing exception messages.""
Since we can/should use private helper functions for the recursive logic, could we use strings for any helper function(s) we use for either toString() or toReverseString()?
Answer: Yes, I would say that's fine? Another instructor can correct me if I'm wrong!"
hw2,"Question: Is it necessary to have a recursive function helper specifically for replaceAt?
I can implement replaceAt with two other public functions and inside those functions are recursivehelpers. 
I'm asking this just to be clearer: 
replaceAt() {
publicfunc1() { recursionhelper() };
publicfunc2() { recursionhelper() };
} 
or does it have to be this:
replaceAt() {
recursiveHelperForReplaceAt();
}"
hw2,"Question: In my CharLinkedList.h file, the line defining my newNode method exceeds 80 characters because it must include Class::Struct along with the next and previous node parameters. This issue only occurs in my .h file, not in my .cpp file, since the line in the .h file is indented with a tab (equivalent to four spaces) due to common convention, whereas .cpp files do not follow this convention.
Would it be acceptable to write *nxt and *prv or even *n and *p for the parameters, even though they are written as *next and *prev in my Node struct? If so, would it be fine to use the full *next and *prev in the .cpp file since they fit? Or should I take an entirely different approach?
Answer: If you have a class function that returns a class struct (e.g., Node), as long as it is private function (which it likely should be), you can simply have it return a type node.
In other words, assuming function some_func is valid, then you can have
private:
Node some_fun();,
and you won’t need
CharLinkedList::Node some_fun();
That being said, in your .h file (or .cpp file), if you have a function declaration that is going over 80 characters, you are encouraged to break up the list of parameters into several lines. I.e., you can do
void CharLinkedList::some_fun(int param1,
                              char param2,
                              bool param3)
instead of this:
void CharLinkedList::some_fun(int param1, char param2, bool param3)"
hw2,"Question: Hello! 
For the CharLinkedList constructor, are we allowed to assume that we will never get an empty array parsed? If not, how do we handle that? The spec does not specify if we should throw a runtime error or if we should just not create a list. 
Thank you. 
Answer: You code should be able to handle if an empty array is passed in. If someone tries to construct a linked list from an empty array, the result should be an empty linked list that holds no elements."
hw2,"Question: Hello,
Are we intended to use a ""back"" pointer (a pointer to the end of the linked list in addition to the front pointer) for HW2? The spec doesn't seem to specify.
Thank you!
Answer: We leave it up to you! It would make some operations easier to implement, and certainly some would be more efficient. However, you would also have to be careful to make sure you are correctly maintaining the back pointer."
hw3,"Question: Hi all,
HW 2 has now been released—you can find it on the course website. It is due one week from today on Tuesday Feb. 4th. Our advice is the same as always: start early, plan before you code, and test thoroughly.
Cheers,
Milod"
hw3,"Question: topic i can provide more information
Answer: Check the output of the autograder - it should mention why with an emoji to the right. The autograder should have 3 emojis for each test - the first denoting if it passed, the second denoting the status of the valgrind test, and the third denoting the reason why.

This emoji could correspond to a wrong exit code, that outfiles aren't being diffed properly, or something else. Let us know if you need more clarification"
hw3,"Question: Just to clarify, we can use the FStream library we just can't use any actual fstream types but rather if stream or ofstream?
Answer: That's right."
hw3,"Question: Hi, do we still have the 5 submissions for phase 1 of the project?
Answer: Yes, 5 submissions for phase 1 and 5 submissions for phase 2."
project,"Question: Hello! Do we have to write individual unit tests for each method we write in the PassengerQueue class?
Answer: Yes, you should always test every function you implement."
project,"Question: Hey all,
We've decided to extend the deadline for gerp until this Friday the 25th at noon. 
A few notes on this:
The token rules will apply as normal to the new deadline. The two-token deadline is now Sunday the 27th at noon.
Note the noon deadline time!!!! Not midnight.
Everyone will now have 7 submissions for this project, as opposed to the usual 5.
We won't be making any changes to our regular office hours schedule. As always, there are fewer office hours on Friday and none on Saturday. Please keep this in mind as you and your partner plan out your work schedule.
As you may have encountered by now, there are a lot of pitfalls you can run into with this assignment. We are giving this extension to provide you with extra time to address these pitfalls. This is not an invitation to put off working for a few more days! Do yourselves a favor and utilize this extra time—do not procrastinate.
Happy gerping,
Milod"
project,"Question: Will 80+ lines  in a makefile not effect the style grade?
Or is there a way to make a makefile rule go across multiple lines?
my unit_test rule is longer than the allowed char count, but when I tried to split the rule across more lines, I wasn't able to compile. Should I not worry about line length in makefiles?
Answer: @195
EDIT: Making this public in case others have similar issues. If you aren’t able to compile, it’s likely you have a space after your backslash when you try to break a rule across multiple lines."
project,"Question: Hey all,
Project 4: gerp has now been released. You can find the spec in the usual place on the course calendar. 
There is a design checkoff and a phase one code submission, both due by Wednesday, April 16 at 11:59pm. You can sign up for a design checkoff at this link.
The final project submission is due by 11:59pm on Wednesday, April 23.
One last important note: for all submissions for this project (design checkoff, phase one code, final submission), only one partner should submit. Otherwise, you may receive the wrong grade. Note: it is fine if a different partner submits for different phases; but only one partner should submit within a given phase. After you submit, make sure to add your partner to your submission on Gradescope so that both of you receive credit.
Have fun with it!
Cheers,
Milod"
project,"Question: Hey all,
As we've discussed in class, Project 4 will be a mandatory pair programming assignment. The project goes out on Tuesday, April 8. You should have figured out your partner prior to then. 
It is essential that you and your partner have compatible schedules. You will be required to do all parts of the project together. Moreover, we will only assist students in office hours who are there with their partner. Please review all of our pair programming guidelines.
Once you have found a partner, you must fill out this form to let us know who your partner is. At the latest, please submit this form by 11:59pm on Monday, April 7. Only one form submission is needed per pair.
Finding a partner on Piazza: If you would like, you can use the follow-ups on this Piazza post to find a partner. Copy-paste the mini-form below, then fill it out, adding any entries you want. Once you find a partner, go back and replace your entry with ""Found!"" (after which an instructor will delete it). This way, the Piazza will be less cluttered and it will be easier to find homework partners because everybody who needs a partner will be looking in the same place.
BLANK FORM:
Name:
Phone number or email:
Preferred meeting times:
As an example, I have included one follow-up below that you should replicate. Make sure that you review all existing posts before adding a new one. If you see someone whose schedule is compatible with yours, reach out to them!
That's all!
I recommend that you start looking for a partner now, so that you are ready to hit the ground running once the final project goes out. Once you've found your partner, remember to fill out the Google form linked above. Thanks, all!
Cheers,
Milod"
project,"Question: Hey all,
Project 3 has now been released. You can find the spec on the usual place on the course website.
Phase 1 is due by 11:59pm Tuesday April 1, and the final submission is due by 11:59pm Tuesday April 8. There is no design checkoff for this project.
Enjoy!
Milod"
project,"Question: Hi, for the run fucntion in the rpncalc class, does it also has to be within 30 lines?"
project,"Question: Hi, i accidently wrote my own datum.cpp, and i think i've overwritten the datum.o, is there a way to recobver the original datum.o? or i have to copy it and pull it from the cs15 file again?
Answer: You can also make a temp directory, run the setup command in that directory, and copy Datum.o to your current one"
project,"Question: Hi, i was wondering do we need to add functions into the header file for datum? Because for now it only has the less than checking function. About it was mentioned the greater than and other comparing functions on the spec.
Thank you!
Answer: With the equal function and the less than function, you should have all you need in order to generate the logic for the greater than function (and less than, and greater, etc) 

This is also mentioned in the spec:

The less-than (<) operator for Datum holding integers. Using the less-than operator and the is-equal-to operator, we can build less-than-or-equal (<=), greater-than-or-equal (>=), and greater-than (>). Use of any of these operators on Datum which hold booleans or rstrings will raise a std::runtime_error with the message “datum_not_int”."
project,"Question: One line of my makefile is longer than the length limit for each line, but i can't change the indent otherwise it wouldn't work, it is valid to put them into separate lines and still work?
Answer: Don't forget to check other posts before asking a question. Please see @248 and @195."
project,"Question: I just felt like the indentation for main.cpp is a few spaces longer than other file, is that what it should be like?
Answer: Hi,
Indentation for main should be just like any other file, which in this class is probably 4 spaces. You can check the set tab size for a given file in vscode by looking at the bottom right, there should be a ""Spaces: 4"". You can also turn on whitespace detection in settings so that there are dots where any spaces are and then just count."
